,Name,Title,Descriptions,Date
1,Ran Ji,Risk-budgeting multi-portfolio optimization with portfolio and marginal risk constraints,"Multi-portfolio optimization problems and the incorporation of marginal risk contribution constraints have recently received a sustained interest from academia and financial practitioners. We propose a class of new stochastic risk budgeting multi-portfolio optimization models that impose portfolio as well as marginal risk constraints. The models permit the simultaneous and integrated optimization of multiple sub-portfolios in which the marginal risk contribution of each individual security is accounted for. A risk budget defined with a downside risk measure is allocated to each security. We consider the two cases in which the asset universes of the sub-portfolios are either disjoint (diversification of style) or overlap (diversification of judgment). The proposed models take the form of stochastic programming problems and include each a probabilistic constraint with multi-row random technology matrix. We expand a combinatorial modeling framework to represent the feasible set of the chance constraints first as a set of mixed-integer linear inequalities. The new reformulation proposed in this paper is much sparser than previously presented reformulations and allows the efficient solution of problem instances that could not be solved otherwise. We evaluate the efficiency and scalability of the proposed method that is general enough to be applied to general chance-constrained optimization problems. We conduct a cross-validation study via a rolling-horizon procedure to assess the performance of the models, and understand the impact of the parameters and diversification types on the portfolios.",Annals of Operations Research
0,Ray Hong,Coco’s Videos: An Empirical Investigation of Video - Player Design Feature and  Children’s Media Use,,1-Jan-18
1,Ray Hong,Collaborative Dynamic Queries: Supporting Distributed Small Group Decision - making,,1-Jan-18
2,Ray Hong,To Distort or Not to Distort: Distance Cartograms in the Wild,,1-Jan-18
3,Ray Hong,Designing Interactive Distance  Cartogram to Support Urban Travelers,,1-Jan-17
4,Ray Hong,Lariat: A Visual Analytics Tool for Social Media Researchers,,1-Jan-17
5,Ray Hong,SparQs: Visual Analytics for Sparking Creativity in Social Media Exploration,,1-Jan-17
6,Ray Hong,Toward the Operationalization of Visual  Metaphor,,1-Jan-17
7,Ray Hong,Hidden symbols: How informal symbolism in digital interfaces disrupts usability for preschoolers,,1-Jan-16
8,Ray Hong,MyTime: Designing and Evaluating an Intervention for Smartphone Non-Use ,,1-Jan-16
9,Ray Hong,VIZMO Game Browser: Accessing Video Games by Visual Style and Mood,,1-Jan-15
10,Ray Hong,Collaborative Visual Analysis of Sentiment in Twitter Events,,1-Jan-14
11,Ray Hong,Traffigram: Distortion for Clarification via Isochronal Cartography,,1-Jan-14
12,Ray Hong,Point and Control: The Intuitive Method to Control Multi-device with Single Remote Control,,1-Jan-09
13,Ray Hong,Interactive System for Efficient Video Cartooning,,1-Jan-07
0,Riki Morikawa,"Principles of Telecommunications, Foundations of Information Technologies",ISBN 9798765708019,15-Aug-22
1,Riki Morikawa,Fundamentals of Telecommunications & Networking for IT,ISBN 9781524952075,1-Jan-18
2,Riki Morikawa,MAKO-PM: Just-In-Time Process Model,,1-Jan-05
3,Riki Morikawa,"“A Framework for an Advanced XML Topic Map Knowledge Base”,",,1-Jul-04
4,Riki Morikawa,MAKO: Multi-Ontology Analytic Knowledge Organization based on Topic Maps,,1-Jan-04
0,Robert Pettit,Paritial list of publications,,
0,Rochelle Jones,A Systems Framework for Distance Learning in Engineering Graduate Programs,,1-Jan-12
1,Rochelle Jones,Project Management for Executing Distance Education Programs,,1-Jan-12
2,Rochelle Jones,Future Challenges of Mobile Learning in Web-based Instruction,,1-Jan-10
0,Shahnaz Kamberi,"Kamberi, S. (2017). Exposing girls to Computer Science, does the all-girl model really work? 2017 IEEE Integrated STEM Education Conference (ISEC), Princeton, NJ, March 11, 2017.","This case study is about the introduction of computer science to girls in an all-girl environment. Due to the lack of women in technology, many efforts are being made to expose girls to computer programming at an early age. Code camp organizers are using the all-girl model to help put participants more at ease and boost their computing confidence. High computer self-efficacy leads to studying computer science, while the stereotypical views of coding as a male subject and lack of ability in girls hinder women from pursuing CS degrees. For this study, a local Northern Virginia University offered two Java programming summer code camps in the summer of 2016, one course as an all-girl class and the other as a co-ed environment. A total of 19 girls participated and submitted post-workshop survey responses. In this paper, we explore the questionnaire differences in response between the girls within the two groups. The implications of introducing computer science to girls in a single-sex setting and its effect on girls' view of CS and computer self-efficacy is also discussed.",11-Mar-17
1,Shahnaz Kamberi,A girls-only online virtual world environment and its implications for game-based learning,"This chapter outlines how and why virtual worlds are the best gaming environments for female game players. It explores strategies for utilizing this information to provide a mass multiplayer online game environment to improve the negative perceptions of computer science and programming by teenage girls. The author shares insights from a case study involving workshops, utilizing a 3D virtual world called Gamher World to teach Java programming to forty-nine 13- to 17-year-old girls. The chapter concludes with recommendations for using virtual worlds to improve the methods used to introduce STEM to girls. ",1-Jan-17
2,Shahnaz Kamberi,"Enticing Women to Computer Science with Es (Expose, Engage, Encourage, Empower)","Abstract— there is a shortage of women in computer science.

An approach is needed to increase women and girls’ interest in computer programming. To identify the best framework for both K-12 and higher education institutions to use to influence girls’ view of Computer Science (CS), a thematic analysis of over 30 research papers and resources from the National Center for Women and Information Technology (NCWIT) website was conducted. Summarizing the different successful approaches taken by various researchers in increasing the number of girls and women studying CS and categorizing the approaches based on similar themes revealed that there are four common methods used to encourage girls to pursue CS. The Four Es model— Expose, Engage, Encourage and Empower—is derived from this analysis. The model can be used by institutions as a framework to increase women and girls’ interest in studying and pursuing computer science careers. ",8-Nov-15
3,Shahnaz Kamberi,The Four Es Model for Increasing the Number of Women in Computer Science [Working Paper],"There is a shortage of women in computer science. 
An approach is needed to increase women and girls’ 
interest in computer programming. To identify the 
best framework for both K-12 and higher education 
institutions to use to influence girls’ view of Computer 
Science (CS), a thematic analysis of over 30 research 
papers and resources from the National Center for 
Women and Information Technology (NCWIT) website 
was conducted. Summarizing the different successful 
approaches taken by various researchers in increasing 
the number of girls and women studying CS and 
categorizing the approaches based on similar themes 
revealed that there are four common methods used 
to encourage girls to pursue CS. The Four Es model 
— 
Expose, Encourage, Engage
 and 
Empower
 — is 
derived from this analysis. The model can be used 
by institutions as a framework to increase women 
and girls’ interest in studying and pursuing computer 
science careers. ",1-Dec-14
4,Shahnaz Kamberi,How to Use Virtual Environments to Promote Multidiscipline Learning by Creating Educational Healthcare Simulation Projects,,1-Dec-13
5,Shahnaz Kamberi,A Cross-Case Analysis of Possible Facial Emotion Extraction Methods that Could Be Used in Second Life - Pre Experimental Work,,1-Dec-12
0,Shani Ross,Chronic monitoring of lower urinary tract activity via a sacral dorsal root ganglia interface,"Objective. Our goal is to develop an interface that integrates chronic monitoring of lower urinary tract (LUT) activity with stimulation of peripheral pathways. Approach. Penetrating microelectrodes were implanted in sacral dorsal root ganglia (DRG) of adult male felines. Peripheral electrodes were placed on or in the pudendal nerve, bladder neck and near the external urethral sphincter. Supra-pubic bladder catheters were implanted for saline infusion and pressure monitoring. Electrode and catheter leads were enclosed in an external housing on the back. Neural signals from microelectrodes and bladder pressure of sedated or awake-behaving felines were recorded under various test conditions in weekly sessions. Electrodes were also stimulated to drive activity. Main results. LUT single- and multi-unit activity was recorded for 4–11 weeks in four felines. As many as 18 unique bladder pressure single-units were identified in each experiment. Some channels consistently recorded bladder afferent activity for up to 41 d, and we tracked individual single-units for up to 23 d continuously. Distension-evoked and stimulation-driven (DRG and pudendal) bladder emptying was observed, during which LUT sensory activity was recorded. Significance. This chronic implant animal model allows for behavioral studies of LUT neurophysiology and will allow for continued development of a closed-loop neuroprosthesis for bladder control.",4-May-17
1,Shani Ross,Hysteretic behavior of bladder afferent neurons in response to changes in bladder pressure,"Background
Mechanosensitive afferents innervating the bladder increase their firing rate as the bladder fills and pressure rises. However, the relationship between afferent firing rates and intravesical pressure is not a simple linear one. Firing rate responses to pressure can differ depending on prior activity, demonstrating hysteresis in the system. Though this hysteresis has been commented on in published literature, it has not been quantified.

Results
Sixty-six bladder afferents recorded from sacral dorsal root ganglia in five alpha-chloralose anesthetized felines were identified based on their characteristic responses to pressure (correlation coefficient ≥ 0.2) during saline infusion (2 ml/min). For saline infusion trials, we calculated a maximum hysteresis ratio between the firing rate difference at each pressure and the overall firing rate range (or Hmax) of 0.86 ± 0.09 (mean ± standard deviation) and mean hysteresis ratio (or Hmean) of 0.52 ± 0.13 (n = 46 afferents). For isovolumetric trials in two experiments (n = 33 afferents) Hmax was 0.72 ± 0.14 and Hmean was 0.40 ± 0.14.

Conclusions
A comprehensive state model that integrates these hysteresis parameters to determine the bladder state may improve upon existing neuroprostheses for bladder control.",12-Aug-16
2,Shani Ross,Deep Brain Stimulation in the Central Nucleus of the Amygdala Decreases “Wanting” and “Liking” of Food Reward,"We investigated the potential of deep brain stimulation (DBS) in the central nucleus of the amygdala (CeA) in rats to modulate functional reward mechanisms. The CeA is the major output of the amygdala with direct connections to the hypothalamus and gustatory brainstem, and indirect connections with the nucleus accumbens. Further, the CeA has been shown to be involved in learning, emotional integration, reward processing, and regulation of feeding. We hypothesized that DBS, which is used to treat movement disorders and other brain dysfunctions, might block reward motivation. In rats performing a lever-pressing task to obtain sugar pellet rewards, we stimulated the CeA and control structures, and compared stimulation parameters. During CeA stimulation, animals stopped working for rewards and rejected freely available rewards. Taste reactivity testing during DBS exposed aversive reactions to normally liked sucrose tastes and even more aversive taste reactions to normally disliked quinine tastes. Interestingly, given the opportunity, animals implanted in the CeA would self-stimulate with 500 ms trains of stimulation at the same frequency and current parameters as continuous stimulation that would stop reward acquisition. Neural recordings during DBS showed that CeA neurons were still active and uncovered inhibitory-excitatory patterns after each stimulus pulse indicating possible entrainment of the neural firing with DBS. In summary, DBS modulation of CeA may effectively usurp normal neural activity patterns to create an ‘information lesion’ that not only decreased motivational ‘wanting’ of food rewards, but also blocked ‘liking’ of rewards.",5-Aug-16
3,Shani Ross,A Mammography Database and View System for African-American Patients,"We have digitized mammography films of African-American patients treated in the Howard University Hospital Radiology Department and have developed a database using these images. Two hundred and sixty cases totaling more than 5,000 images have been scanned with a high resolution Kodak LS85 laser scanner. The database system and web-based search engine were developed using MySQL and PHP. The database has been evaluated by medical professionals, and the experimental results obtained so far are promising with high image quality and fast access time. We have also developed an image viewing system, D-Viewer, to display these digitized mammograms. This viewer is coded in Microsoft Visual C# and is intended to help medical professionals view and retrieve large data sets in near real time. Finally, we are currently developing an image content-based retrieval function for the database system to provide improved search capability for the medical professionals.",29-Mar-07
4,Shani Ross,Laminar Analysis of Movement Direction Information in Local Field Potentials of the Rat Motor Cortex,"Local field potentials (LFPs) have been proposed for use in controlling neural prosthetic devices because they can provide reliable motor and sensory-related information, and can easily be recorded over long periods of time. While studies have shown that directional information about motor movements can be inferred from LFPs, it is not known at what depth these signals should be recorded from in order to maximize the amount of movement information. Towards this end, we used a directional motor task in Long Evans rats, while sampling LFPs with an electrode consisting of 16 vertical recording sites that were evenly-spaced 100 microm apart. This allowed for simultaneous recording of all layers of the motor cortex. The frequency components of LFPs were then analyzed using k-means clustering to determine directional information as a function of depth. Here we report our initial findings that superficial layers (II/III) of motor cortex may provide more information about movement directions then deeper layers (V).",30-Aug-06
5,Shani Ross,Online Handwritten Circuit Recognition on a Tablet PC,,13-Oct-04
6,Shani Ross,A Mammography Database and View System for the African American Patients,,13-Oct-04
1,Sharmin Sultana,Patient-Specific Cranial Nerve Identification Using a Discrete Deformable Contour Model for Skull Base Neurosurgery Planning and Simulation,,5-Oct-15
2,Sharmin Sultana,Application and histology-driven refinement of active contour models to functional region and nerve delineation: towards a digital brainstem atlas,,18-Mar-15
3,Sharmin Sultana,Contour Models for Descriptive Patient-Specific Neuro-Anatomical Modeling: Towards a Digital Brainstem Atlas,,1-Jan-15
4,Sharmin Sultana,Simplex-based surface and contour models for segmentation and meshing for surgery simulation,,12-Apr-12
5,Sharmin Sultana,Energy-efficient target coverage in wireless sensor networks based on modified ant colony algorithm,,1-Dec-10
6,Sharmin Sultana,Enhanced-DSR: A New Approach to Improve Performance of DSR Algorithm,,10-Apr-10
1,Shvetha Soundararajan,"Assessing an Organization�s Capability to Effectively Implement Its Selected Agile Method(s): An Objectives, Principles, Strategies Approach",,1-Aug-13
2,Shvetha Soundararajan,"Assessing an Organization�s Capability to Effectively Implement Its Selected Agile Method(s): An Objectives, Principles, Strategies Approach",,1-Aug-13
3,Shvetha Soundararajan,A Methodology for Assessing Agile Software Development Methods,,1-Aug-12
4,Shvetha Soundararajan,"Understanding the tenets of agile software engineering: lecturing, exploration and critical thinking",,1-Mar-12
5,Shvetha Soundararajan,Assessing an organization�s capability to effectively implement its selected agile method,,1-Oct-11
6,Shvetha Soundararajan,"A Structured Framework for Assessing the ""Goodness"" of Agile Methods",,1-Apr-11
7,Shvetha Soundararajan,A Soft-Structured Agile Framework for Larger Scale Systems Development,,1-Apr-09
1,Xuan Wang,A Discrete-time Distributed Algorithm for Minimum l1-Norm Solution of an Under-determined Linear Equation Set,,1-Jul-20
2,Xuan Wang,More Consensus is Not Always Beneficial,,1-Jul-20
3,Xuan Wang,"Scalable, Distributed Algorithms for Solving Linear Equations via Double-Layered Networks",,1-Mar-20
4,Xuan Wang,Distributed Algorithm for Least Squares Solutions,,1-Oct-19
5,Xuan Wang,Towards Resilience for Consensus-based Multi-Agent Learning/Planning,,1-Sep-19
6,Xuan Wang,Finite-Time Distributed Linear Equation Solver for Solutions with Minimum l1 Norm,,1-Jul-19
7,Xuan Wang,A Distributed algorithm for Least Squares Solutions in Double-layered Multi-agent Networks,,1-Jul-19
8,Xuan Wang,A Resilient Convex Combination for Consensus-based Distributed Algorithms,,1-Mar-19
9,Xuan Wang,A Distributed Algorithm with Scalar States for Solving Linear Equations,,1-Dec-18
10,Xuan Wang,Distributed Algorithm for Achieving Minimum l1 Norm Solutions of Linear Equation,,1-Jun-18
11,Xuan Wang,A Distributed Algorithm for Conservation Principle and Applications,,1-Jun-18
12,Xuan Wang,A Distributed Linear Equation Solver for Least Square Solutions,,1-Dec-17
13,Xuan Wang,Further Discussions on a Distributed Algorithm for Solving Linear Algebra Equations,,1-May-17
14,Xuan Wang,Improvement of a Distributed Algorithm for Solving Linear Equations,,1-Apr-17
15,Xuan Wang,Online De ection Estimation of X-axis Beam on Positioning Machine,,1-Jan-16
0,Yue Cheng,Improving Docker Registry Design based on Production Workload Analysis,"Containers offer an efficient way to run workloads as independent microservices that can be developed, tested and deployed in an agile manner. To facilitate this process, container frameworks offer a registry service that enables users to publish and version container images and share them with others. The registry service plays a critical role in the startup time of containers since many container starts entail the retrieval of container images from a registry. To support research efforts on optimizing the registry service, large-scale and realistic traces are required. In this paper, we perform a comprehensive characterization of a large-scale registry workload based on traces that we collected over the course of 75 days from five IBM data centers hosting production-level registries. We present a trace replayer to perform our analysis and infer a number of crucial insights about container workloads, such as request type distribution, access patterns, and response times. Based on these insights, we derive design implications for the registry and demonstrate their ability to improve performance. Both the traces and the replayer are open-sourced to facilitate further research.",1-Feb-18
1,Yue Cheng,MOS: Workload-aware Elasticity for Cloud Object Stores,"The use of cloud object stores has been growing rapidly in recent years as they combine key advantages such as HTTP-based RESTful APIs, high availability, elasticity with a “pay-as-you-go” pricing model that allows applications to scale as needed. The current practice is to either use a single set of configuration parameters or rely on statically configured storage policies for a cloud object store deployment, even when the store is used to support different types of applications with evolving requirements. This crucial mismatch between the different applications requirements and capabilities of the object store is problematic and should be addressed to achieve high efficiency and performance.

In this paper, we propose MOS, a Micro Object Storage architecture, which supports independently configured microstores each tuned dynamically to the needs of a particular type of workload. We also design an enhancement, MOS++ , that extends MOS’s capabilities through fine-grained resource management to effectively meet the tenants’ SLAs while maximizing resource efficiency. We have implemented a prototype of MOS ++ in OpenStack Swift using Docker containers. Our evaluation shows that MOS ++ can effectively support heterogeneous workloads across multiple tenants. Compared to default and statically configured object store setups, for a two-tenant setup, MOS++ improves the sustained access bandwidth by up to 79% for a large-object workload, while reducing the 95th percentile latency by up to 70.2% for a small-object workload.",2-Jun-16
2,Yue Cheng,Taming the Cloud Object Stores with MOS," Cloud object stores today are deployed using a single set of configuration parameters for all different types of applications. This homogeneous setup results in all applications experiencing the same service level (e.g., data transfer throughput, etc.). However, the vast variety of applications expose extremely different latency and throughput requirements. To this end, we propose MOS, a <u>M</u>icro <u>O</u>bject <u>S</u>torage architecture with independently configured microstores each tuned dynamically for a particular type of workload. We then expose these microstores to the tenant who can then choose to place their data in the appropriate microstore according the latency and throughput requirements of their workloads. Our evaluation shows that compared with default setup, MOS can improve the performance up to 200% for small objects and 28% for large objects while providing opportunity of tradeoff between two. ",1-Nov-15
3,Yue Cheng,Pricing Games for Hybrid Object Stores in the Cloud: Provider vs. Tenant," Cloud object stores are increasingly becoming the de facto storage choice for big data analytics platforms, mainly because they simplify the management of large blocks of data at scale. To ensure cost-effectiveness of the storage service, the object stores use hard disk drives (HDDs). However, the lower performance of HDDs affect tenants who have strict performance requirements for their big data applications. The use of faster storage devices such as solid state drives (SSDs) is thus desirable by the tenants, but incurs significant maintenance costs to the provider. We design a tiered object store for the cloud, which comprises both fast and slow storage devices. The resulting hybrid store exposes the tiering to tenants with a dynamic pricing model that is based on the tenants’ usage and the provider’s desire to maximize profits. The tenants leverage knowledge of their workloads and current pricing information to select a data placement strategy that would meet the application requirements at the lowest cost. Our approach allows both a service provider and its tenants to engage in a pricing game, which our results show yields a win–win situation. ",1-Jul-15
4,Yue Cheng,CAST: Tiering Storage for Data Analytics in the Cloud,"Enterprises are increasingly moving their big data analytics to the cloud with the goal of reducing costs without sacrificing application performance. Cloud service providers offer their tenants a myriad of storage options, which while flexible, makes the choice of storage deployment non trivial. Crafting deployment scenarios to leverage these choices in a cost-effective manner under the unique pricing models and multi-tenancy dynamics of the cloud environment — presents unique challenges in designing cloud-based data analytics frameworks.

In this paper, we propose Cast, a Cloud Analytics Storage Tiering solution that cloud tenants can use to reduce monetary cost and improve performance of analytics workloads. The approach takes the first step towards providing storage tiering support for data analytics in the cloud. Cast performs offline workload profiling to construct job performance prediction models on different cloud storage services, and combines these models with workload specifications and high-level tenant goals to generate a cost-effective data placement and storage provisioning plan. Furthermore, we build Cast++ to enhance Cast’s optimization model by incorporating data reuse patterns and across-jobs interdependencies common in realistic analytics workloads.",1-Jun-15
5,Yue Cheng,An In-Memory Object Caching Framework with Adaptive Load Balancing,"The extreme latency and throughput requirements of modern web applications are driving the use of distributed in-memory object caches such as Memcached. While extant caching systems scale-out seamlessly, their use in the cloud --- with its unique cost and multi-tenancy dynamics --- presents unique opportunities and design challenges.

In this paper, we propose MBal, a high-performance in-memory object caching framework with adaptive <u>M</u>ultiphase load <u>B</u>alancing, which supports not only horizontal (scale-out) but vertical (scale-up) scalability as well. MBal is able to make efficient use of available resources in the cloud through its fine-grained, partitioned, lockless design. This design also lends itself naturally to provide adaptive load balancing both within a server and across the cache cluster through an event-driven, multi-phased load balancer. While individual load balancing approaches are being lever-aged in in-memory caches, MBal goes beyond the extant systems and offers a holistic solution wherein the load balancing model tracks hotspots and applies different strategies based on imbalance severity -- key replication, server-local or cross-server coordinated data migration. Performance evaluation on an 8-core commodity server shows that compared to a state-of-the-art approach, MBal scales with number of cores and executes 2.3x and 12x more queries/second for GET and SET operations, respectively.",1-Apr-15
6,Yue Cheng,ClusterOn: Building Highly Configurable and Reusable Clustered Data Services using Simple Data Nodes,"The growing variety of data storage and retrieval needs is driving the design and development of an increasing number of distributed storage applications such as key-value stores, distributed file systems, object stores, and databases. We observe that, to a large extent, such applications would implement their own way of handling features of data replication, failover, consistency, cluster topology, leadership election, etc. We found that 45--82% of the code in six popular distributed storage applications can be classified as implementations of such common features. While such implementations allow for deeper optimizations tailored for a specific application, writing new applications to satisfy the ever-changing requirements of new types of data or I/O patterns is challenging, as it is notoriously hard to get all the features right in a distributed setting.

In this paper, we argue that for most modern storage applications, the common feature implementation (i.e., the distributed part) can be automated and offloaded, so developers can focus on the core application functions. We are designing a framework, ClusterOn, which aims to take care of the messy plumbing of distributed storage applications. The envisioned goal is that a developer simply ""drops"" a non-distributed application into ClusterOn, which will convert it into a scalable and highly configurable distributed application. ",USENIX Workshop on Hot Topics in Storage and File Systems (HotStorage '16)
7,Yue Cheng,Erasing Belady's Limitations: In Search of Flash Cache Offline Optimality,"NAND-based solid-state (flash) drives are known for providing better performance than magnetic disk drives, but they have limits on endurance, the number of times data can be erased and overwritten. Furthermore, the unit of erasure can be many times larger than the basic unit of I/O; this leads to complexity with respect to consolidating live data and erasing obsolete data. When flash drives are used as a cache for a larger, disk-based storage system, the choice of a cache replacement algorithm can make a significant difference in both performance and endurance. While there are many cache replacement algorithms, their effectiveness is hard to judge due to the lack of a baseline against which to compare them: Belady’s MIN, the usual offline best-case algorithm, considers read hit ratio but not endurance. 

We explore offline algorithms for flash caching in terms of both hit ratio and flash lifespan. We design and implement a multi-stage heuristic by synthesizing several techniques that manage data at the granularity of a flash erasure unit (which we call a container) to approximate the offline optimal algorithm. We find that simple techniques contribute most of the available erasure savings. Our evaluation shows that the container-optimized offline heuristic is able to provide the same optimal read hit ratio as MIN with 67% fewer flash erasures. More fundamentally, our investigation provides a useful approximate baseline for evaluating any online algorithm, highlighting the importance of comparing new policies for caching compound blocks in flash.",USENIX Annual Technical Conference (ATC '16)
1,Yue WANG,Enabling Technologies for Spectrum and Energy Efficient NOMA-MmWave-MaMIMO SystemsEnabling Technologies for Spectrum and Energy Efficient NOMA-MmWave-MaMIMO Systems,,1-Jul-20
2,Yue WANG,Low-Complexity Gridless 2D Harmonic Retrieval via Decoupled-ANM Covariance ReconstructionLow-Complexity Gridless 2D Harmonic Retrieval via Decoupled-ANM Covariance Reconstruction,,1-Jun-20
3,Yue WANG,Efficient Super-Resolution Two-Dimensional Harmonic Retrieval via Enhanced Low-Rank Structured Covariance ReconstructionEfficient Super-Resolution Two-Dimensional Harmonic Retrieval via Enhanced Low-Rank Structured Covariance Reconstruction,,1-May-20
4,Yue WANG,Angle-Based Channel Estimation with Arbitrary ArraysAngle-Based Channel Estimation with Arbitrary Arrays,,1-Dec-19
5,Yue WANG,Super-Resolution Spatial Channel Covariance Estimation for Hybrid Precoding in MmWave Massive MIMOSuper-Resolution Spatial Channel Covariance Estimation for Hybrid Precoding in MmWave Massive MIMO,,1-Dec-19
6,Yue WANG,Radio Frequency Interference Detection and Mitigation using Compressive Statistical SensingRadio Frequency Interference Detection and Mitigation using Compressive Statistical Sensing,,1-Sep-19
7,Yue WANG,Super-Resolution Channel Estimation for Arbitrary Arrays in Hybrid Millimeter-Wave Massive MIMO SystemsSuper-Resolution Channel Estimation for Arbitrary Arrays in Hybrid Millimeter-Wave Massive MIMO Systems,,26-Aug-19
8,Yue WANG,COKE: COMMUNICATION-CENSORED KERNEL LEARNING VIA RANDOM FEATURESCOKE: COMMUNICATION-CENSORED KERNEL LEARNING VIA RANDOM FEATURES,,1-Jun-19
9,Yue WANG,Efficient Two-Dimensional Line Spectrum Estimation Based on Decoupled Atomic Norm MinimizationEfficient Two-Dimensional Line Spectrum Estimation Based on Decoupled Atomic Norm Minimization,,1-Apr-19
10,Yue WANG,A MEASUREMENT-EFFICIENT LOW-RANK MATRIX RECOVERY APPROACHA MEASUREMENT-EFFICIENT LOW-RANK MATRIX RECOVERY APPROACH,,1-Nov-18
11,Yue WANG,AN ENERGY-EFFICIENT DISTRIBUTED AVERAGE CONSENSUS SCHEME VIA INFREQUENT COMMUNICATIONAN ENERGY-EFFICIENT DISTRIBUTED AVERAGE CONSENSUS SCHEME VIA INFREQUENT COMMUNICATION,,1-Nov-18
12,Yue WANG,EFFICIENT RFI DETECTION IN RADIO ASTRONOMY BASED ON COMPRESSIVE STATISTICAL SENSINGEFFICIENT RFI DETECTION IN RADIO ASTRONOMY BASED ON COMPRESSIVE STATISTICAL SENSING,,1-Nov-18
13,Yue WANG,IVDST: A Fast Algorithm for Atomic Norm Minimization in Line Spectral EstimationIVDST: A Fast Algorithm for Atomic Norm Minimization in Line Spectral Estimation,,1-Nov-18
14,Yue WANG,Multiple symbol differential detection for noncoherent communications with large-scale antenna arraysMultiple symbol differential detection for noncoherent communications with large-scale antenna arrays,,1-Apr-18
15,Yue WANG,Big Data in 5GBig Data in 5G,,1-Mar-18
16,Yue WANG,Radio frequency interference (RFI) detection based on cyclic spectrum analysisRadio frequency interference (RFI) detection based on cyclic spectrum analysis,,1-Jan-18
17,Yue WANG,Wideband DOA estimation based on A-shape arrayWideband DOA estimation based on A-shape array,,1-Oct-17
18,Yue WANG,Efficient channel estimation for massive MIMO systems via truncated two-dimensional atomic norm minimizationEfficient channel estimation for massive MIMO systems via truncated two-dimensional atomic norm minimization,,1-May-17
19,Yue WANG,Low-complexity optimization for two-dimensional direction-of-arrival estimation via decoupled atomic norm minimizationLow-complexity optimization for two-dimensional direction-of-arrival estimation via decoupled atomic norm minimization,,1-Mar-17
20,Yue WANG,A fast channel estimation approach for millimeter-wave massive MIMO systemsA fast channel estimation approach for millimeter-wave massive MIMO systems,,1-Dec-16
21,Yue WANG,A hardware implementation of random demodulation analog-to-information converterA hardware implementation of random demodulation analog-to-information converter,,1-Aug-16
22,Yue WANG,Efficient channel statistics estimation for millimeter-wave MIMO systemsEfficient channel statistics estimation for millimeter-wave MIMO systems,,1-Mar-16
23,Yue WANG,Perturbation analysis of simultaneous orthogonal matching pursuitPerturbation analysis of simultaneous orthogonal matching pursuit,,1-Nov-15
24,Yue WANG,Information estimations and acquisition costs for quantized compressive sensingInformation estimations and acquisition costs for quantized compressive sensing,,1-Jul-15
25,Yue WANG,Cluster-Based Multi-Target Localization under Partial ObservationsCluster-Based Multi-Target Localization under Partial Observations,,1-May-15
26,Yue WANG,A tree-based regularized orthogonal matching pursuit algorithmA tree-based regularized orthogonal matching pursuit algorithm,,1-Apr-15
27,Yue WANG,Joint reconstruction algorithms for one-bit distributed compressed sensingJoint reconstruction algorithms for one-bit distributed compressed sensing,,1-Apr-15
28,Yue WANG,Sub-Sampling Quantize-and-Forward Schemes for Relay NetworksSub-Sampling Quantize-and-Forward Schemes for Relay Networks,,1-Sep-14
29,Yue WANG,A distributed compressed sensing scheme based on one-bit quantizationA distributed compressed sensing scheme based on one-bit quantization,,1-May-14
30,Yue WANG,Compressed Sensing Reconstruction Algorithms with Prior Information: Logit Weight Simultaneous Orthogonal Matching PursuitCompressed Sensing Reconstruction Algorithms with Prior Information: Logit Weight Simultaneous Orthogonal Matching Pursuit,,1-May-14
31,Yue WANG,Performance analysis of partial support recovery and signal reconstruction of compressed sensingPerformance analysis of partial support recovery and signal reconstruction of compressed sensing,,1-Apr-14
32,Yue WANG,Cluster-based multi-target localization using joint sparsity PropertyCluster-based multi-target localization using joint sparsity Property,,1-Sep-13
33,Yue WANG,Performance analysis of generalized block diagonal structured random matrices in compressive sensingPerformance analysis of generalized block diagonal structured random matrices in compressive sensing,,1-Oct-12
34,Yue WANG,Collecting detection diversity and complexity gains in cooperative spectrum sensingCollecting detection diversity and complexity gains in cooperative spectrum sensing,,1-Aug-12
35,Yue WANG,Sparsity order estimation and its application in compressive spectrum sensing for cognitive radiosSparsity order estimation and its application in compressive spectrum sensing for cognitive radios,,1-Jun-12
36,Yue WANG,??????????????????????????????,,1-Jul-11
37,Yue WANG,Cooperative spectrum sensing based on matrix rank minimizationCooperative spectrum sensing based on matrix rank minimization,,1-May-11
38,Yue WANG,A two-step compressed spectrum sensing scheme for wideband cognitive radiosA two-step compressed spectrum sensing scheme for wideband cognitive radios,,1-Dec-10
39,Yue WANG,Virtual polarization detection: a vector signal sensing method for cognitive radiosVirtual polarization detection: a vector signal sensing method for cognitive radios,,1-May-10
40,Yue WANG,Optimization of parameters for spectrum sensing in cognitive radiosOptimization of parameters for spectrum sensing in cognitive radios,,1-Sep-09
41,Yue WANG,Polarization spectrum sensing scheme for cognitive radiosPolarization spectrum sensing scheme for cognitive radios,,1-Sep-09
42,Yue WANG,A robust and energy efficient cooperative spectrum sensing scheme in cognitive radio networksA robust and energy efficient cooperative spectrum sensing scheme in cognitive radio networks,,1-Feb-09
43,Yue WANG,??????????????????????????????????????,,1-Jul-08
44,Yue WANG,??????????????????????????,,1-Jun-08
45,Yue WANG,????????????????????????????????????,,1-Mar-07
